Email,Pickup Date,Cart Order,Cart Total,Discount Code Applied,Date and Time of Order
a@test.com,02/25 Tues,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:12:00 AM"
a@test.com,03/03 Mon.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:26:26 AM"
a@me.com,02/27 Thurs.,2x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:30:14 AM"
optintest@test.com,03/04 Tues.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:37:44 AM"
a@test.com,02/25 Tues,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:12:00 AM"
a@test.com,03/03 Mon.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:26:26 AM"
a@me.com,02/27 Thurs.,2x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:30:14 AM"
optintest@test.com,03/04 Tues.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:37:44 AM"
a@test.com,02/25 Tues,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:12:00 AM"
a@test.com,03/03 Mon.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:26:26 AM"
a@me.com,02/27 Thurs.,2x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:30:14 AM"
optintest@test.com,03/04 Tues.,1x Fresh Milled Sourdough Loaf ($12),0.00,None,"2/23/2025, 9:37:44 AM"
discount@test.com,02/25 Tues,1x Fresh Milled Sourdough Loaf ($12),12.00,None,"2/23/2025, 10:02:27 AM"
micaela@test.com,03/04 Tues.,1x Chocolate Chunk Loaf ($14),14.00,None,"2/23/2025, 10:17:01 AM"
testCHECKED@test.com,02/25 Tues,1x Chocolate Chunk Loaf ($14),14.00,None,"2/23/2025, 10:18:15 AM"
test@test.com,03/03 Mon.,1x Chocolate Chunk Loaf ($14),0.00,None,"2/23/2025, 10:23:54 AM"
